nazwa;dom_wyc;schroniska;schr_mlodz;kempingi;pole_biw;hotel;motel;pensjonat;nieskat
Boles³awiec(1);0;0;0;0;0;0.666;0.183;0.09;0.062
Niemcza(3);0;0;0;0;0;0.882;0;0.118;0
Jawor(1);0;0;0.154;0;0.549;0.059;0.056;0;0.181
Bolków(3);0;0;0;0.323;0.216;0.3;0;0;0.162
Kowary(1);0;0;0;0;0;0.322;0;0;0.678
Piechowice(1);0;0;0;0;0;0.586;0;0;0.414
Mys³akowice(2);0;0;0;0;0;0.294;0;0;0.706
Lubawka(3);0;0;0;0;0;0.199;0;0;0.801
Miêdzylesie(3);0;0.13;0;0;0;0;0;0;0.87
NowaRuda(2);0;0.168;0;0.364;0;0;0;0.091;0.377
Szczytna(3);0;0;0;0.268;0;0;0;0;0.732
Leœna(3);0;0;0;0;0;0.434;0;0;0.566
Lubin(1);0;0;0;0;0;0.706;0;0;0.294
LwówekŒl¹ski(3);0;0;0;0;0;0.264;0;0;0.736
Milicz(3);0;0;0;0;0;0.192;0;0;0.808
O³awa(1);0;0;0;0;0;0.581;0;0;0.419
Œwidnica(1);0.073;0;0;0.218;0;0.479;0;0;0.23
Strzegom(3);0.195;0;0;0;0;0.225;0;0;0.58
ObornikiŒl¹skie(3);0;0;0;0.261;0.439;0.137;0;0;0.163
Trzebnica(3);0;0;0;0;0;0.874;0;0;0.126
Jedlina-Zdrój(1);0;0;0;0;0;0.184;0;0;0.816
Mieroszów(3);0;0.297;0;0;0;0;0;0.214;0.489
Kobierzyce(2);0;0;0;0;0;0.649;0;0;0.351
Sobótka(3);0;0.116;0;0.185;0;0.111;0;0;0.588
Zgorzelec(1);0;0;0;0;0;0.274;0;0.132;0.595
Zgorzelec(2);0;0;0;0;0;1;0;0;0
Osielsko(2);0;0;0;0;0;0.91;0;0.09;0
Che³mno(1);0;0;0;0;0;0.411;0;0;0.589
Kruszwica(3);0;0;0;0;0;0;0;0;1
Skêpe(3);0;0;0;0;0.537;0.463;0;0;0
Szubin(3);0;0;0;0;0;0.8;0.102;0;0.098
Wiêcbork(3);0;0;0;0;0;0.061;0;0.111;0.828
Osie(2);0;0;0;0;0;0;0;0.115;0.885
£ysomice(2);0;0;0;0;0;0.954;0;0;0.046
Lubiewo(2);0;0;0;0;0;0;0;0;1
¯nin(3);0.206;0;0;0.18;0.051;0.216;0;0;0.347
JanówPodlaski(2);0;0;0;0;0;0.619;0;0.11;0.271
JanówLubelski(3);0;0;0;0;0;0.277;0;0;0.723
Krasnystaw(1);0;0;0;0;0;0.146;0;0;0.854
Firlej(2);0;0;0;0;0;0;0;0;1
Jastków(2);0;0;0;0;0;0.742;0;0;0.258
DêbowaK³oda(2);0;0;0;0;0;0.18;0;0.08;0.74
Œwidnik(1);0;0;0;0;0;0.891;0.109;0;0
Susiec(2);0;0;0;0.336;0;0;0;0.131;0.532
W³odawa(1);0;0;0;0;0;0;0;0;1
Che³m(1);0;0;0;0;0;0.514;0;0;0.486
Miêdzyrzecz(3);0;0;0;0;0;0.123;0.082;0;0.796
Trzciel(3);0;0;0;0;0;0.516;0;0;0.484
OœnoLubuskie(3);0;0;0;0;0;0;0;0.583;0.417
Rzepin(3);0;0;0;0;0;0.656;0;0;0.344
StrzelceKrajeñskie(3);0;0;0;0;0;0.263;0;0;0.737
Lubniewice(3);0;0;0.054;0;0;0.203;0;0;0.742
Torzym(3);0;0;0;0;0.161;0.082;0.203;0;0.555
Lubrza(2);0;0;0;0;0;0;0.114;0;0.886
Œwiebodzin(3);0;0;0;0;0;0.615;0.116;0;0.269
Wschowa(3);0;0;0;0;0;0.046;0;0;0.954
Be³chatów(2);0;0;0;0;0;0.286;0;0;0.714
Kleszczów(2);0;0;0;0;0;0.493;0;0;0.507
Kutno(1);0;0;0;0;0;0.669;0;0;0.331
£ask(3);0;0;0;0;0;0.485;0;0;0.515
Tuszyn(3);0;0;0;0;0;0.472;0;0;0.528
Pabianice(1);0;0;0;0;0;0.9;0;0;0.1
Sulejów(3);0;0;0;0;0;0.309;0;0;0.691
Pêczniew(2);0;0;0;0;0.185;0.104;0;0;0.711
Uniejów(3);0;0;0;0;0;0.508;0;0;0.492
Radomsko(1);0;0;0;0;0;0.851;0;0;0.149
TomaszówMazowiecki(1);0;0;0;0;0;0.246;0;0;0.754
Osjaków(2);0;0;0;0;0;0.263;0.185;0;0.552
P¹tnów(2);0;0;0;0;0.163;0;0;0;0.837
ZduñskaWola(1);0;0;0;0;0;0.358;0;0;0.642
Zgierz(1);0;0;0;0;0;0.47;0;0;0.53
Stryków(3);0;0;0;0;0;0.758;0;0;0.242
Zgierz(2);0;0;0;0;0;0.07;0;0;0.93
PiotrkówTrybunalski(1);0;0;0;0;0;0.661;0;0;0.339
Bochnia(1);0;0;0;0;0;0.596;0;0;0.404
Rzezawa(2);0;0;0;0;0;0.295;0.146;0;0.56
Brzesko(3);0;0;0;0;0;0.626;0;0;0.374
Gorlice(1);0;0;0;0;0;0.326;0;0;0.674
WielkaWieœ(2);0;0;0;0;0;1;0;0;0
Zabierzów(2);0;0;0;0;0;0.731;0;0;0.269
Limanowa(1);0;0;0;0;0;0.411;0;0.096;0.493
MszanaDolna(1);0;0;0;0;0;0.161;0;0.158;0.681
MszanaDolna(2);0;0;0.042;0;0;0;0;0;0.958
NiedŸwiedŸ(2);0;0;0;0;0;0.212;0;0;0.788
Dobczyce(3);0;0;0;0;0;0.833;0;0;0.167
Myœlenice(3);0;0;0;0;0;0.438;0;0.074;0.488
Rytro(2);0;0;0;0;0;0.699;0;0;0.301
StaryS¹cz(3);0;0;0;0;0;0;0;0.044;0.956
NowyTarg(1);0;0;0;0;0;0.893;0;0.043;0.064
CzarnyDunajec(2);0;0.265;0;0;0;0.438;0;0;0.297
NowyTarg(2);0;0.263;0;0;0.091;0;0;0;0.646
OchotnicaDolna(2);0;0;0;0;0;0;0;0.122;0.878
Szaflary(2);0;0;0;0;0;0;0;0.189;0.811
MakówPodhalañski(3);0;0;0;0;0.205;0.205;0.119;0;0.471
Stryszawa(2);0;0.127;0;0;0;0;0;0;0.873
Andrychów(3);0;0;0;0;0;0.921;0;0;0.079
KalwariaZebrzydowska(3);0.089;0;0;0;0;0.147;0;0;0.764
Niepo³omice(3);0;0;0;0;0;0.567;0.072;0;0.361
Ciechanów(1);0;0;0;0;0;0.971;0;0;0.029
Wilga(2);0;0;0;0;0;0.225;0;0;0.775
GrodziskMazowiecki(3);0;0;0;0;0;0.918;0;0;0.082
Warka(3);0;0;0;0.075;0;0.456;0;0;0.469
Kozienice(3);0;0;0;0.249;0;0.212;0;0.207;0.332
Nieporêt(2);0;0;0;0;0;0.513;0;0;0.487
NowyDwórMazowiecki(1);0;0;0;0;0;1;0;0;0
Wi¹zowna(2);0;0;0;0;0;0.893;0;0.107;0
Konstancin-Jeziorna(3);0;0;0;0;0;0.251;0;0;0.749
Piaseczno(3);0;0;0;0;0;0.738;0;0;0.262
£¹ck(2);0;0;0;0;0;0;0;0;1
Nadarzyn(2);0;0;0;0;0;0.54;0;0;0.46
Raszyn(2);0;0;0;0;0;0.823;0;0;0.177
O¿arówMazowiecki(3);0;0;0;0;0;0.906;0;0;0.094
